islem_tipi,tarih,saat,islem_hacmi
EFT,2025-06-02,8,71
EFT,2025-06-02,9,180
EFT,2025-06-02,10,275
EFT,2025-06-02,11,281
EFT,2025-06-02,12,259
EFT,2025-06-02,13,105
EFT,2025-06-02,14,372
EFT,2025-06-02,15,184
EFT,2025-06-02,16,203
EFT,2025-06-02,17,295
EFT,2025-06-02,18,201
EFT,2025-06-03,8,85
EFT,2025-06-03,9,96
EFT,2025-06-03,10,207
EFT,2025-06-03,11,101
EFT,2025-06-03,12,163
EFT,2025-06-03,13,294
EFT,2025-06-03,14,213
EFT,2025-06-03,15,435
EFT,2025-06-03,16,414
EFT,2025-06-03,17,423
EFT,2025-06-03,18,150
EFT,2025-06-04,8,179
EFT,2025-06-04,9,134
EFT,2025-06-04,10,326
EFT,2025-06-04,11,253
EFT,2025-06-04,12,154
EFT,2025-06-04,13,281
EFT,2025-06-04,14,407
EFT,2025-06-04,15,465
EFT,2025-06-04,16,208
EFT,2025-06-04,17,174
EFT,2025-06-04,18,104
EFT,2025-06-05,8,81
EFT,2025-06-05,9,135
EFT,2025-06-05,10,153
EFT,2025-06-05,11,364
EFT,2025-06-05,12,225
EFT,2025-06-05,13,230
EFT,2025-06-05,14,172
EFT,2025-06-05,15,266
EFT,2025-06-05,16,402
EFT,2025-06-05,17,254
EFT,2025-06-05,18,91
EFT,2025-06-06,8,149
EFT,2025-06-06,9,131
EFT,2025-06-06,10,242
EFT,2025-06-06,11,417
EFT,2025-06-06,12,318
EFT,2025-06-06,13,208
EFT,2025-06-06,14,539
EFT,2025-06-06,15,297
EFT,2025-06-06,16,582
EFT,2025-06-06,17,539
EFT,2025-06-06,18,124
EFT,2025-06-09,8,147
EFT,2025-06-09,9,167
EFT,2025-06-09,10,293
EFT,2025-06-09,11,176
EFT,2025-06-09,12,256
EFT,2025-06-09,13,296
EFT,2025-06-09,14,271
EFT,2025-06-09,15,157
EFT,2025-06-09,16,189
EFT,2025-06-09,17,157
EFT,2025-06-09,18,166
EFT,2025-06-10,8,69
EFT,2025-06-10,9,140
EFT,2025-06-10,10,200
EFT,2025-06-10,11,204
EFT,2025-06-10,12,128
EFT,2025-06-10,13,169
EFT,2025-06-10,14,203
EFT,2025-06-10,15,344
EFT,2025-06-10,16,191
EFT,2025-06-10,17,140
EFT,2025-06-10,18,175
EFT,2025-06-11,8,65
EFT,2025-06-11,9,190
EFT,2025-06-11,10,116
EFT,2025-06-11,11,249
EFT,2025-06-11,12,128
EFT,2025-06-11,13,203
EFT,2025-06-11,14,496
EFT,2025-06-11,15,322
EFT,2025-06-11,16,350
EFT,2025-06-11,17,240
EFT,2025-06-11,18,175
EFT,2025-06-12,8,116
EFT,2025-06-12,9,183
EFT,2025-06-12,10,307
EFT,2025-06-12,11,279
EFT,2025-06-12,12,96
EFT,2025-06-12,13,171
EFT,2025-06-12,14,310
EFT,2025-06-12,15,408
EFT,2025-06-12,16,223
EFT,2025-06-12,17,182
EFT,2025-06-12,18,126
EFT,2025-06-13,8,86
EFT,2025-06-13,9,185
EFT,2025-06-13,10,379
EFT,2025-06-13,11,124
EFT,2025-06-13,12,230
EFT,2025-06-13,13,373
EFT,2025-06-13,14,306
EFT,2025-06-13,15,332
EFT,2025-06-13,16,543
EFT,2025-06-13,17,612
EFT,2025-06-13,18,85
EFT,2025-06-16,8,89
EFT,2025-06-16,9,113
EFT,2025-06-16,10,218
EFT,2025-06-16,11,163
EFT,2025-06-16,12,161
EFT,2025-06-16,13,117
EFT,2025-06-16,14,217
EFT,2025-06-16,15,186
EFT,2025-06-16,16,261
EFT,2025-06-16,17,223
EFT,2025-06-16,18,169
EFT,2025-06-17,8,156
EFT,2025-06-17,9,197
EFT,2025-06-17,10,208
EFT,2025-06-17,11,325
EFT,2025-06-17,12,281
EFT,2025-06-17,13,102
EFT,2025-06-17,14,436
EFT,2025-06-17,15,566
EFT,2025-06-17,16,294
EFT,2025-06-17,17,248
EFT,2025-06-17,18,82
EFT,2025-06-18,8,61
EFT,2025-06-18,9,216
EFT,2025-06-18,10,111
EFT,2025-06-18,11,301
EFT,2025-06-18,12,165
EFT,2025-06-18,13,241
EFT,2025-06-18,14,261
EFT,2025-06-18,15,322
EFT,2025-06-18,16,602
EFT,2025-06-18,17,401
EFT,2025-06-18,18,90
EFT,2025-06-19,8,125
EFT,2025-06-19,9,76
EFT,2025-06-19,10,243
EFT,2025-06-19,11,224
EFT,2025-06-19,12,81
EFT,2025-06-19,13,145
EFT,2025-06-19,14,271
EFT,2025-06-19,15,400
EFT,2025-06-19,16,497
EFT,2025-06-19,17,420
EFT,2025-06-19,18,97
EFT,2025-06-20,8,171
EFT,2025-06-20,9,135
EFT,2025-06-20,10,351
EFT,2025-06-20,11,413
EFT,2025-06-20,12,189
EFT,2025-06-20,13,337
EFT,2025-06-20,14,261
EFT,2025-06-20,15,199
EFT,2025-06-20,16,234
EFT,2025-06-20,17,431
EFT,2025-06-20,18,100
EFT,2025-06-23,8,152
EFT,2025-06-23,9,158
EFT,2025-06-23,10,239
EFT,2025-06-23,11,228
EFT,2025-06-23,12,92
EFT,2025-06-23,13,197
EFT,2025-06-23,14,334
EFT,2025-06-23,15,437
EFT,2025-06-23,16,348
EFT,2025-06-23,17,254
EFT,2025-06-23,18,74
EFT,2025-06-24,8,146
EFT,2025-06-24,9,144
EFT,2025-06-24,10,118
EFT,2025-06-24,11,205
EFT,2025-06-24,12,94
EFT,2025-06-24,13,109
EFT,2025-06-24,14,142
EFT,2025-06-24,15,200
EFT,2025-06-24,16,337
EFT,2025-06-24,17,443
EFT,2025-06-24,18,128
EFT,2025-06-25,8,127
EFT,2025-06-25,9,93
EFT,2025-06-25,10,122
EFT,2025-06-25,11,320
EFT,2025-06-25,12,306
EFT,2025-06-25,13,230
EFT,2025-06-25,14,476
EFT,2025-06-25,15,251
EFT,2025-06-25,16,458
EFT,2025-06-25,17,343
EFT,2025-06-25,18,63
EFT,2025-06-26,8,141
EFT,2025-06-26,9,171
EFT,2025-06-26,10,132
EFT,2025-06-26,11,315
EFT,2025-06-26,12,161
EFT,2025-06-26,13,152
EFT,2025-06-26,14,389
EFT,2025-06-26,15,465
EFT,2025-06-26,16,401
EFT,2025-06-26,17,414
EFT,2025-06-26,18,58
EFT,2025-06-27,8,67
EFT,2025-06-27,9,173
EFT,2025-06-27,10,252
EFT,2025-06-27,11,193
EFT,2025-06-27,12,171
EFT,2025-06-27,13,381
EFT,2025-06-27,14,198
EFT,2025-06-27,15,439
EFT,2025-06-27,16,650
EFT,2025-06-27,17,495
EFT,2025-06-27,18,152
EFT,2025-06-30,8,133
EFT,2025-06-30,9,113
EFT,2025-06-30,10,256
EFT,2025-06-30,11,213
EFT,2025-06-30,12,103
EFT,2025-06-30,13,201
EFT,2025-06-30,14,471
EFT,2025-06-30,15,210
EFT,2025-06-30,16,187
EFT,2025-06-30,17,202
EFT,2025-06-30,18,98
EFT,2025-07-01,8,104
EFT,2025-07-01,9,170
EFT,2025-07-01,10,230
EFT,2025-07-01,11,361
EFT,2025-07-01,12,219
EFT,2025-07-01,13,222
EFT,2025-07-01,14,331
EFT,2025-07-01,15,408
EFT,2025-07-01,16,360
EFT,2025-07-01,17,272
EFT,2025-07-01,18,150
EFT,2025-07-02,8,88
EFT,2025-07-02,9,125
EFT,2025-07-02,10,272
EFT,2025-07-02,11,154
EFT,2025-07-02,12,129
EFT,2025-07-02,13,201
EFT,2025-07-02,14,164
EFT,2025-07-02,15,380
EFT,2025-07-02,16,505
EFT,2025-07-02,17,363
EFT,2025-07-02,18,72
EFT,2025-07-03,8,62
EFT,2025-07-03,9,78
EFT,2025-07-03,10,394
EFT,2025-07-03,11,186
EFT,2025-07-03,12,107
EFT,2025-07-03,13,187
EFT,2025-07-03,14,387
EFT,2025-07-03,15,361
EFT,2025-07-03,16,186
EFT,2025-07-03,17,495
EFT,2025-07-03,18,147
EFT,2025-07-04,8,126
EFT,2025-07-04,9,246
EFT,2025-07-04,10,331
EFT,2025-07-04,11,352
EFT,2025-07-04,12,303
EFT,2025-07-04,13,123
EFT,2025-07-04,14,427
EFT,2025-07-04,15,269
EFT,2025-07-04,16,578
EFT,2025-07-04,17,166
EFT,2025-07-04,18,229
EFT,2025-07-07,8,133
EFT,2025-07-07,9,175
EFT,2025-07-07,10,164
EFT,2025-07-07,11,244
EFT,2025-07-07,12,124
EFT,2025-07-07,13,206
EFT,2025-07-07,14,208
EFT,2025-07-07,15,138
EFT,2025-07-07,16,359
EFT,2025-07-07,17,152
EFT,2025-07-07,18,64
EFT,2025-07-08,8,151
EFT,2025-07-08,9,99
EFT,2025-07-08,10,194
EFT,2025-07-08,11,226
EFT,2025-07-08,12,265
EFT,2025-07-08,13,128
EFT,2025-07-08,14,159
EFT,2025-07-08,15,493
EFT,2025-07-08,16,407
EFT,2025-07-08,17,356
EFT,2025-07-08,18,161
EFT,2025-07-09,8,90
EFT,2025-07-09,9,98
EFT,2025-07-09,10,298
EFT,2025-07-09,11,196
EFT,2025-07-09,12,167
EFT,2025-07-09,13,199
EFT,2025-07-09,14,137
EFT,2025-07-09,15,180
EFT,2025-07-09,16,571
EFT,2025-07-09,17,159
EFT,2025-07-09,18,84
EFT,2025-07-10,8,78
EFT,2025-07-10,9,132
EFT,2025-07-10,10,259
EFT,2025-07-10,11,269
EFT,2025-07-10,12,205
EFT,2025-07-10,13,181
EFT,2025-07-10,14,176
