ekip_adi,islem_tipi,tarih,saat,talimat_adet
Merkez Ekip,EFT,2024-01-02,1,1
Merkez Ekip,EFT,2024-01-02,3,5
İstanbul Ekip,EFT,2024-01-02,3,6
Ankara Ekip,EFT,2024-01-02,3,2
Ankara Ekip,EFT,2024-01-02,6,1
Merkez Ekip,EFT,2024-01-02,7,2
İstanbul Ekip,EFT,2024-01-02,7,1
Merkez Ekip,EFT,2024-01-02,8,16
İstanbul Ekip,EFT,2024-01-02,8,11
Ankara Ekip,EFT,2024-01-02,8,6
Merkez Ekip,EFT,2024-01-02,9,10
İstanbul Ekip,EFT,2024-01-02,9,10
Ankara Ekip,EFT,2024-01-02,9,3
Merkez Ekip,EFT,2024-01-02,10,9
İstanbul Ekip,EFT,2024-01-02,10,4
Ankara Ekip,EFT,2024-01-02,10,3
Merkez Ekip,EFT,2024-01-02,11,17
İstanbul Ekip,EFT,2024-01-02,11,12
Ankara Ekip,EFT,2024-01-02,11,8
Merkez Ekip,EFT,2024-01-02,12,3
İstanbul Ekip,EFT,2024-01-02,12,2
Ankara Ekip,EFT,2024-01-02,12,1
Merkez Ekip,EFT,2024-01-02,13,2
İstanbul Ekip,EFT,2024-01-02,13,1
Ankara Ekip,EFT,2024-01-02,13,3
Merkez Ekip,EFT,2024-01-02,14,2
İstanbul Ekip,EFT,2024-01-02,14,4
Ankara Ekip,EFT,2024-01-02,14,7
Merkez Ekip,EFT,2024-01-02,15,13
İstanbul Ekip,EFT,2024-01-02,15,11
Ankara Ekip,EFT,2024-01-02,15,6
Merkez Ekip,EFT,2024-01-02,16,10
İstanbul Ekip,EFT,2024-01-02,16,11
Ankara Ekip,EFT,2024-01-02,16,5
Merkez Ekip,EFT,2024-01-02,17,7
İstanbul Ekip,EFT,2024-01-02,17,1
Ankara Ekip,EFT,2024-01-02,17,3
Merkez Ekip,EFT,2024-01-02,18,7
İstanbul Ekip,EFT,2024-01-02,18,5
Ankara Ekip,EFT,2024-01-02,18,1
Merkez Ekip,EFT,2024-01-02,19,1
İstanbul Ekip,EFT,2024-01-02,19,1
Ankara Ekip,EFT,2024-01-02,19,2
Merkez Ekip,EFT,2024-01-03,0,5
İstanbul Ekip,EFT,2024-01-03,0,3
Ankara Ekip,EFT,2024-01-03,0,3
Merkez Ekip,EFT,2024-01-03,2,3
İstanbul Ekip,EFT,2024-01-03,2,4
Ankara Ekip,EFT,2024-01-03,2,3
Merkez Ekip,EFT,2024-01-03,5,4
İstanbul Ekip,EFT,2024-01-03,5,4
Ankara Ekip,EFT,2024-01-03,5,1
Merkez Ekip,EFT,2024-01-03,7,6
İstanbul Ekip,EFT,2024-01-03,7,2
Merkez Ekip,EFT,2024-01-03,8,16
İstanbul Ekip,EFT,2024-01-03,8,24
Ankara Ekip,EFT,2024-01-03,8,5
Merkez Ekip,EFT,2024-01-03,9,27
İstanbul Ekip,EFT,2024-01-03,9,19
Ankara Ekip,EFT,2024-01-03,9,12
Merkez Ekip,EFT,2024-01-03,10,11
İstanbul Ekip,EFT,2024-01-03,10,3
Ankara Ekip,EFT,2024-01-03,10,4
Merkez Ekip,EFT,2024-01-03,11,40
İstanbul Ekip,EFT,2024-01-03,11,33
Ankara Ekip,EFT,2024-01-03,11,17
Merkez Ekip,EFT,2024-01-03,12,5
İstanbul Ekip,EFT,2024-01-03,12,6
Ankara Ekip,EFT,2024-01-03,12,6
Merkez Ekip,EFT,2024-01-03,13,2
Ankara Ekip,EFT,2024-01-03,13,1
Merkez Ekip,EFT,2024-01-03,14,18
İstanbul Ekip,EFT,2024-01-03,14,10
Ankara Ekip,EFT,2024-01-03,14,7
Merkez Ekip,EFT,2024-01-03,15,13
İstanbul Ekip,EFT,2024-01-03,15,8
Ankara Ekip,EFT,2024-01-03,15,7
Merkez Ekip,EFT,2024-01-03,16,8
