date,transaction_type,predicted_count,lower_80,upper_80,confidence,model_used,calendar_flags
2025-07-01,EFT,252.8,252.8,252.8,high,ridge,is_month_start
2025-07-02,EFT,226.7,226.7,226.7,high,ridge,
2025-07-03,EFT,211.6,211.6,211.6,high,ridge,
2025-07-04,EFT,196.5,196.5,196.5,high,ridge,
2025-07-05,EFT,0.0,0.0,0.0,high,ridge,
2025-07-06,EFT,5.2,5.2,5.2,high,ridge,
2025-07-07,EFT,279.6,279.6,279.6,high,ridge,
2025-07-08,EFT,252.7,252.7,252.7,high,ridge,
2025-07-09,EFT,234.1,234.1,234.1,high,ridge,
2025-07-10,EFT,219.0,219.0,219.0,high,ridge,
2025-07-11,EFT,193.6,193.6,193.6,high,ridge,
2025-07-12,EFT,0.0,0.0,0.0,high,ridge,
2025-07-13,EFT,2.3,2.3,2.3,high,ridge,
2025-07-14,EFT,358.1,358.1,358.1,high,ridge,is_eve_of_holiday
2025-07-15,EFT,37.2,37.2,37.2,high,ridge,is_public_holiday
2025-07-16,EFT,259.9,259.9,259.9,high,ridge,
2025-07-17,EFT,224.3,224.3,224.3,high,ridge,
2025-07-18,EFT,205.7,205.7,205.7,high,ridge,
2025-07-19,EFT,5.3,5.3,5.3,high,ridge,
2025-07-20,EFT,14.3,14.3,14.3,high,ridge,
2025-07-21,EFT,278.5,278.5,278.5,high,ridge,
2025-07-22,EFT,251.5,251.5,251.5,high,ridge,
2025-07-23,EFT,232.9,232.9,232.9,high,ridge,
2025-07-24,EFT,217.8,217.8,217.8,high,ridge,
2025-07-25,EFT,233.8,233.8,233.8,high,ridge,
2025-07-26,EFT,2.4,2.4,2.4,high,ridge,
2025-07-27,EFT,11.4,11.4,11.4,high,ridge,
2025-07-28,EFT,285.9,285.9,285.9,high,ridge,
2025-07-29,EFT,258.9,258.9,258.9,high,ridge,
2025-07-30,EFT,240.3,240.3,240.3,high,ridge,
2025-07-31,EFT,257.0,257.0,257.0,high,ridge,is_month_end
