date,transaction_type,predicted_count,lower_80,upper_80,confidence,model_used,calendar_flags
2025-07-01,Havale,339.2,208.3,415.1,high,xgboost,is_month_start
2025-07-02,Havale,340.5,211.5,432.6,high,xgboost,
2025-07-03,Havale,342.8,212.6,426.6,high,xgboost,
2025-07-04,Havale,291.7,211.9,373.5,high,xgboost,
2025-07-05,Havale,3.0,1.3,54.5,high,xgboost,
2025-07-06,Havale,3.0,1.1,53.5,high,xgboost,
2025-07-07,Havale,422.0,205.8,489.7,high,xgboost,
2025-07-08,Havale,360.4,220.0,412.1,high,xgboost,
2025-07-09,Havale,360.3,224.4,421.2,high,xgboost,
2025-07-10,Havale,366.9,228.8,420.2,high,xgboost,
2025-07-11,Havale,322.7,227.3,370.2,high,xgboost,
2025-07-12,Havale,3.2,1.9,49.0,high,xgboost,
2025-07-13,Havale,3.2,1.7,48.5,high,xgboost,
2025-07-14,Havale,429.7,225.0,458.6,high,xgboost,is_eve_of_holiday
2025-07-15,Havale,30.1,5.1,369.6,high,xgboost,is_public_holiday
2025-07-16,Havale,381.5,235.1,419.3,high,xgboost,
2025-07-17,Havale,377.5,234.7,425.7,high,xgboost,
2025-07-18,Havale,332.5,233.6,370.2,high,xgboost,
2025-07-19,Havale,3.1,2.4,49.4,high,xgboost,
2025-07-20,Havale,3.1,2.6,49.5,high,xgboost,
2025-07-21,Havale,436.8,224.1,474.2,high,xgboost,
2025-07-22,Havale,359.0,226.5,405.8,high,xgboost,
2025-07-23,Havale,359.6,228.4,422.6,high,xgboost,
2025-07-24,Havale,361.3,231.0,425.2,high,xgboost,
2025-07-25,Havale,313.9,230.6,369.4,high,xgboost,
2025-07-26,Havale,3.1,1.2,50.6,high,xgboost,
2025-07-27,Havale,3.1,1.6,50.7,high,xgboost,
2025-07-28,Havale,394.7,220.7,480.9,high,xgboost,
2025-07-29,Havale,359.3,222.6,406.9,high,xgboost,
2025-07-30,Havale,368.7,226.7,434.1,high,xgboost,
2025-07-31,Havale,372.6,227.2,428.0,high,xgboost,is_month_end
